CountryCode,Population,GDP_Per_Capita,Hospital_Beds_Per_Thousand,Life_Expectancy,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex,Mortality Rate,H5,V1,V3,ConfirmedCases,ConfirmedDeaths,StringencyIndex_Average_Category,GovernmentResponseIndex_Average_Category,ContainmentHealthIndex_Average_Category,EconomicSupportIndex_Category,Combined_Category
KAZ,19397998.0,24055.588,6.7,73.6,51.24129562043795,45.88244525547446,50.887864963503645,10.846259124087592,0.5106946328767168,0.0,2,5,763289284.0,10857473.0,3,2,3,0,SI3.0_GI2.0_CI3.0_EI0.0
KEN,54027484.0,2993.028,1.4,66.7,51.549543795620444,50.02369525547445,54.03923357664234,21.920620437956206,0.05978676796489425,1900000.0,2,5,198006066.0,3540221.0,3,3,4,1,SI3.0_GI3.0_CI4.0_EI1.0
KGZ,6630621.0,3393.474,4.5,71.45,46.01752737226278,48.27310218978102,47.00501824817518,57.13959854014598,0.2812084537529919,0.0,2,5,131985810.0,2043587.0,3,2,2,4,SI3.0_GI2.0_CI2.0_EI4.0
KHM,16767851.0,3645.07,0.8,69.82,45.121569343065694,41.0573996350365,45.00769160583942,13.412408759124087,0.08362751133911177,0.0,2,5,69985685.0,1536870.0,2,1,1,0,SI2.0_GI1.0_CI1.0_EI0.0
KIR,131237.0,1981.1320000000003,1.9000000000000001,68.37,25.193649635036493,25.450328467153287,27.286322992700732,12.614051094890511,0.02865073490212642,0.0,2,5,1071124.0,4121.0,0,0,0,0,SI0.0_GI0.0_CI0.0_EI0.0
KOR,51815808.0,35938.374,12.27,83.03,40.7510401459854,49.4232299270073,51.735875912408765,33.23448905109489,0.15754393762146224,7698257367.0,2,5,6418305890.0,8946940.0,1,3,3,2,SI1.0_GI3.0_CI3.0_EI2.0
KWT,4268886.0,65530.537000000004,2.0,75.49,48.542326642335766,45.198713503649635,46.83565693430657,33.74771897810219,0.37393941757300325,0.0,2,5,368136725.0,1749550.0,3,2,2,2,SI3.0_GI2.0_CI2.0_EI2.0
LAO,7529477.0,6397.36,1.5,67.92,46.14121350364963,52.84370437956204,50.532436131386866,69.02372262773723,0.03295272544443231,0.0,2,5,77425116.0,271936.0,3,4,3,4,SI3.0_GI4.0_CI3.0_EI4.0
LBN,5489744.0,13367.565,2.9,78.93,51.863138686131386,51.22851277372263,52.93536496350365,39.27919708029197,1.0692767562447913,0.0,0,5,612228760.0,6433581.0,4,3,3,3,SI4.0_GI3.0_CI3.0_EI3.0
LBR,5302690.0,752.788,0.8,64.1,45.33067518248175,43.69587591240876,49.62204379562044,2.2239963503649633,0.031754644623078164,0.0,2,5,4476794.0,184550.0,2,1,2,0,SI2.0_GI1.0_CI2.0_EI0.0
LBY,6812344.0,17881.509,3.7,72.91,56.77587591240876,44.59699817518248,50.96788321167883,0.0,0.4999771625387186,13408000.0,2,5,274361611.0,3732994.0,4,2,3,0,SI4.0_GI2.0_CI3.0_EI0.0
LKA,21832150.0,11669.077,3.6,76.98,51.21667883211679,53.463795620437956,56.5266697080292,32.02554744525548,0.3392919863662528,262500000.0,2,5,348662196.0,8118591.0,3,4,4,2,SI3.0_GI4.0_CI4.0_EI2.0
LTU,2750058.0,29524.265,6.56,75.93,36.01941605839416,46.07834854014599,42.011669708029196,74.5323905109489,1.6493082802824284,4732093.5,2,5,520015510.0,4971120.0,0,2,1,4,SI0.0_GI2.0_CI1.0_EI4.0
LUX,647601.0,94277.965,4.51,82.25,37.25629562043796,47.142125912408765,48.011870437956205,41.04698905109489,1.0160408200340802,0.0,2,5,120258476.0,721156.0,1,2,2,3,SI1.0_GI2.0_CI2.0_EI3.0
LVA,1850654.0,25063.846,5.57,75.29,35.48866788321168,38.25767335766423,37.857427007299265,41.058394160583944,1.4872228163744268,0.0,2,5,345689592.0,3016559.0,0,0,0,3,SI0.0_GI0.0_CI0.0_EI3.0
MAR,37457976.0,7485.013,1.1,76.68,53.79559306569343,51.1391605839416,54.91297445255475,24.714872262773724,0.25282456619777627,0.0,2,5,716444737.0,10379445.0,4,3,4,1,SI4.0_GI3.0_CI4.0_EI1.0
MDA,3272993.0,5189.972,5.8,71.9,41.16257299270073,44.34641423357664,46.376770072992706,30.143704379562045,1.8762436955263349,14723949.0,0,5,301855817.0,6730462.0,1,1,1,2,SI1.0_GI1.0_CI1.0_EI2.0
MDG,29611718.0,1416.44,0.2,67.04,37.57185218978102,36.38839416058394,39.559324817518245,14.187956204379562,0.024882325103885695,0.0,2,5,39531624.0,807542.0,1,0,0,0,SI1.0_GI0.0_CI0.0_EI0.0
MEX,127504120.0,17336.469,1.38,75.05,43.99120437956204,42.832892335766424,46.2935401459854,18.613138686131386,1.5635115996286078,0.0,2,5,3442674590.0,218492171.0,2,1,1,1,SI2.0_GI1.0_CI1.0_EI1.0
MLI,22593598.0,2014.306,0.1,59.31,37.48359489051094,40.082235401459855,43.05592153284672,19.2632299270073,0.019253120409317835,0.0,2,5,17031302.0,476757.0,1,1,1,1,SI1.0_GI1.0_CI1.0_EI1.0
MLT,533293.0,36513.323,4.485,82.53,39.901021897810224,49.206560218978105,50.153147810218975,42.575273722627735,0.7206412913808724,0.0,2,5,48010022.0,421207.0,1,3,2,3,SI1.0_GI3.0_CI2.0_EI3.0
MMR,54179312.0,5591.597,0.9,67.13,63.73446167883212,59.965364963503646,63.377956204379565,36.074361313868614,0.17875474879727787,0.0,1,5,331567728.0,10614551.0,4,4,4,2,SI4.0_GI4.0_CI4.0_EI2.0
MNG,3398373.0,11840.846,7.0,69.87,42.96206204379562,45.54576642335767,46.22345802919708,40.80748175182482,0.27432808599407466,7827300.0,2,5,419184034.0,1021767.0,2,2,1,3,SI2.0_GI2.0_CI1.0_EI3.0
MOZ,32969520.0,1136.103,0.7,60.85000000000001,43.838777372262776,38.28153284671533,43.75107664233577,0.0,0.034838498608482496,0.0,0,5,121096447.0,1258875.0,2,0,1,0,SI2.0_GI0.0_CI1.0_EI0.0
MUS,1299478.0,20292.745,3.4,74.99,34.30613138686131,44.472682481751825,43.432299270072996,51.75638686131387,0.2808974626678564,0.0,2,5,84985638.0,400062.0,0,1,1,4,SI0.0_GI1.0_CI1.0_EI4.0
MWI,20405318.0,1095.042,1.3,64.26,38.98188868613139,39.56814781021898,42.28862226277372,20.529197080291972,0.06933375761469504,37000000.0,2,5,48648105.0,1550596.0,1,0,1,1,SI1.0_GI0.0_CI1.0_EI1.0
MYS,33938216.0,26808.164,1.9000000000000001,76.16,49.19622262773722,56.95090328467153,55.31184306569343,68.41925182481752,0.46255323944619886,0.0,2,5,2031651325.0,17205262.0,3,4,4,4,SI3.0_GI4.0_CI4.0_EI4.0
NER,26207982.0,926.0,0.3,62.42000000000001,21.35059306569343,26.48132299270073,28.072162408759123,15.351277372262773,0.00702622766511296,0.0,2,5,5667863.0,201821.0,0,0,0,1,SI0.0_GI0.0_CI0.0_EI1.0
NIC,6948395.0,5321.444,0.9,74.48,11.33389598540146,16.319908759124086,18.17478102189781,3.3302919708029197,0.024185467648536362,260000000.0,2,5,9052804.0,184183.0,0,0,0,0,SI0.0_GI0.0_CI0.0_EI0.0
NLD,17564020.0,48472.545,3.32,82.28,42.89692518248175,49.79916058394161,49.020474452554744,55.246350364963504,0.8435668070335262,261627134.64,2,5,3470103381.0,16238801.0,2,3,2,4,SI2.0_GI3.0_CI2.0_EI4.0
NOR,5434324.0,64800.057,3.6,82.4,35.55030109489051,39.11899635036496,39.98471715328467,33.05200729927007,0.25704517955152617,694263420.0,2,5,546397262.0,1530966.0,0,0,0,2,SI0.0_GI0.0_CI0.0_EI2.0
NPL,30547586.0,2442.804,0.3,70.78,51.18641423357664,52.25762773722628,52.457782846715325,50.855383211678834,0.21518087834702598,0.0,2,5,585462478.0,7204289.0,3,3,3,3,SI3.0_GI3.0_CI3.0_EI3.0
NZL,5185289.0,36085.843,2.61,82.29,34.68584854014599,44.1854197080292,43.410638686131385,49.60082116788321,0.07930950439405152,23870000.0,2,5,439456489.0,450722.0,0,1,1,3,SI0.0_GI1.0_CI1.0_EI3.0
OMN,4576300.0,37960.709,1.6,77.86,46.28791058394161,47.64839416058394,50.230520072992704,29.57344890510949,0.5723615929165994,0.0,2,5,246307472.0,2870751.0,3,2,2,2,SI3.0_GI2.0_CI2.0_EI2.0
PAK,235824864.0,5034.708,0.6,67.27,52.255337591240874,56.13856751824818,55.16516423357664,62.956204379562045,0.07817458144064211,300000000.0,2,5,972574651.0,20205319.0,4,4,4,4,SI4.0_GI4.0_CI4.0_EI4.0
PAN,4408582.0,22267.037,2.3,78.51,49.97462591240876,52.801140510948905,54.854060218978105,38.42381386861314,1.2097926023630612,0.0,2,5,488479296.0,5845483.0,3,4,4,3,SI3.0_GI4.0_CI4.0_EI3.0
PER,34049588.0,12236.706,1.6,76.74,53.61492700729927,54.739589416058394,56.36443430656934,43.362226277372265,4.176493266232765,23757005.0,2,5,2194806009.0,155859831.0,4,4,4,3,SI4.0_GI4.0_CI4.0_EI3.0
PHL,115559008.0,7599.188,1.0,71.23,58.48186131386861,56.342563868613134,62.441624087591244,13.65191605839416,0.25965705485142376,1857847000.0,2,5,2004682072.0,32886260.0,4,4,4,0,SI4.0_GI4.0_CI4.0_EI0.0
POL,39857144.0,27216.445,6.62,78.73,39.7922901459854,42.62731751824818,41.97254562043796,47.21715328467153,1.5503946982384273,518361020.0,2,5,3209106793.0,67726558.0,1,1,1,3,SI1.0_GI1.0_CI1.0_EI3.0
PRT,10270857.0,27936.896,3.39,82.05,43.69991788321168,49.42247262773723,50.051961678832114,45.027372262773724,1.3504486138342835,242461000.0,2,5,2027429308.0,15201810.0,2,3,2,3,SI2.0_GI3.0_CI2.0_EI3.0
PRY,6780745.0,8827.01,1.3,74.25,43.67991788321168,43.39877737226277,46.22902372262774,23.585766423357665,1.4765664839069612,7000000.0,2,5,379833219.0,10973394.0,2,1,1,1,SI2.0_GI1.0_CI1.0_EI1.0
QAT,2695131.0,116935.6,1.2,80.23,52.49036496350365,54.09099452554745,57.22675182481751,32.128193430656935,0.15793349557183475,0.0,2,5,248900006.0,466514.0,4,4,4,2,SI4.0_GI4.0_CI4.0_EI2.0
ROU,19659270.0,23313.199,6.892,76.05,44.32344890510949,50.826076642335764,48.896231751824814,64.33622262773723,1.7330480196673548,808365.1799999999,2,5,1534669270.0,37341223.0,2,3,2,4,SI2.0_GI3.0_CI2.0_EI4.0
RUS,144713312.0,24765.954,8.05,72.58,41.216824817518244,45.854817518248176,47.144206204379564,36.83850364963504,1.227274988251748,312789295.0,2,5,9101647274.0,194652919.0,1,2,2,2,SI1.0_GI2.0_CI2.0_EI2.0
SAU,36408824.0,49045.411,2.7,75.13,45.57132299270073,50.480136861313866,53.2415693430657,31.15875912408759,0.17645402599771792,510000000.0,2,5,519918065.0,7041234.0,3,3,3,2,SI3.0_GI3.0_CI3.0_EI2.0
SDN,46874200.0,4466.507,0.8,65.31,29.446359489051094,28.404078467153283,31.19964416058394,8.838959854014599,0.05529219426172124,0.0,2,5,38601967.0,2840588.0,0,0,0,0,SI0.0_GI0.0_CI0.0_EI0.0
SGP,5637022.0,85535.383,2.4,83.62,43.58701642335767,61.30891423357665,57.270474452554744,89.5757299270073,0.09295364677037228,0.0,2,5,572713252.0,574284.0,2,4,4,4,SI2.0_GI4.0_CI4.0_EI4.0
SLB,724272.0,2205.923,1.4,73.0,36.55576642335767,30.641021897810216,33.53293795620438,10.401459854014599,0.0589995910718867,0.0,2,5,6099108.0,46834.0,1,0,0,0,SI1.0_GI0.0_CI0.0_EI0.0
SLV,6336393.0,7292.458,1.3,73.32,41.40949817518248,42.793594890510946,44.449598540145985,31.204379562043794,0.3757944889692078,0.0,2,5,99845678.0,2609775.0,1,1,1,2,SI1.0_GI1.0_CI1.0_EI2.0
SMR,33690.0,56861.47,3.8000000000000003,84.97,36.44386861313869,36.699416058394156,38.23657846715329,25.93521897810219,2.3116521829562373,0.0,2,5,8593041.0,85356.0,0,0,0,1,SI0.0_GI0.0_CI0.0_EI1.0
SRB,6871547.0,14048.881,5.609,76.0,37.32671532846715,45.17526459854015,44.44732664233576,50.27372262773723,1.156151352477722,0.0,2,5,1061416064.0,8707225.0,1,2,1,3,SI1.0_GI2.0_CI1.0_EI3.0
SUR,618046.0,13767.119,3.1,71.68,54.247481751824814,50.24101277372263,53.73968065693431,25.75273722627737,1.0521740627767509,0.0,2,5,38695312.0,712720.0,4,3,3,1,SI4.0_GI3.0_CI3.0_EI1.0
SVK,5643455.0,30155.152,5.82,77.54,38.97985401459854,51.8128102189781,48.71183394160584,73.51733576642336,1.833129420569595,0.0,2,5,1173416375.0,11338321.0,1,3,2,4,SI1.0_GI3.0_CI2.0_EI4.0
SVN,2119843.0,31400.84,4.5,81.32,40.581213503649636,46.07691605839416,46.6386405109489,42.1418795620438,1.7679220363416874,16367576.52,2,5,481422688.0,4107498.0,1,2,2,3,SI1.0_GI2.0_CI2.0_EI3.0
SWE,10549349.0,46949.283,2.22,82.8,36.689361313868616,36.92931569343065,38.18946167883212,28.11359489051095,1.166242182614274,9900000.0,2,5,1287937312.0,13484193.0,1,0,0,2,SI1.0_GI0.0_CI0.0_EI2.0
SWZ,1201680.0,7738.974999999999,2.1,60.18999999999999,48.58365875912409,47.052417883211675,51.35913321167883,16.902372262773724,0.6401864640112116,13640045.16,2,5,37939514.0,843152.0,3,2,3,1,SI3.0_GI2.0_CI3.0_EI1.0
SYC,107135.0,26382.287,3.6,73.4,46.04629562043795,46.340319343065694,50.55567518248175,16.822536496350367,0.712604569103924,0.0,2,5,20834289.0,83674.0,3,2,3,1,SI3.0_GI2.0_CI3.0_EI1.0
TGO,8848700.0,1429.813,0.7,61.04,43.53297445255475,45.798759124087596,46.42455291970803,41.42335766423358,0.017197049605785632,0.0,0,5,20055699.0,166780.0,2,2,2,3,SI2.0_GI2.0_CI2.0_EI3.0
THA,71697024.0,16277.671,2.1,77.15,42.96381386861314,46.32668795620438,45.09429744525547,54.949817518248175,0.1699881838583735,1888198189.77,2,5,1774245279.0,13357661.0,2,2,1,4,SI2.0_GI2.0_CI1.0_EI4.0
TJK,9952789.0,2896.913,4.8,71.1,27.879781021897813,27.197135036496352,28.98780109489051,14.666970802919709,0.00922154679347177,25000000.0,2,5,14059813.0,100591.0,0,0,0,0,SI0.0_GI0.0_CI0.0_EI0.0
TLS,1341298.0,6570.102,5.9,69.5,36.23715328467153,38.12668795620438,39.44461678832117,28.900547445255473,0.04442667927514554,0.0,0,5,11827214.0,65310.0,0,0,0,2,SI0.0_GI0.0_CI0.0_EI2.0
TON,106867.0,5425.621,2.6,70.91,45.605291970802924,37.95425182481752,42.6053102189781,5.406021897810219,0.027892983016818983,0.0,0,5,3840459.0,3267.0,3,0,1,0,SI3.0_GI0.0_CI1.0_EI0.0
TTO,1531043.0,28763.071,3.0,73.51,52.13927919708029,48.15854927007299,52.736487226277376,16.115419708029197,1.0645568408399195,0.0,2,5,70865082.0,1786351.0,4,2,3,1,SI4.0_GI2.0_CI3.0_EI1.0
TUN,12356116.0,10849.297,2.3,76.7,49.36921532846715,50.04644160583942,50.460200729927,47.14872262773723,1.2261875128062412,0.0,2,5,566215396.0,16605403.0,3,3,3,3,SI3.0_GI3.0_CI3.0_EI3.0
TUR,85341248.0,25129.341,2.81,77.69,42.12536496350365,44.590510948905106,46.58747262773723,30.62271897810219,0.5977211851625397,750000000.0,2,5,7681837603.0,55907258.0,2,1,2,2,SI2.0_GI1.0_CI2.0_EI2.0
TZA,65497752.0,2683.304,0.7,65.46,14.956158759124088,17.653421532846718,18.079443430656934,14.67837591240876,0.005293155420385998,0.0,0,0,16274104.0,379972.0,0,0,0,1,SI0.0_GI0.0_CI0.0_EI1.0
UGA,47249588.0,1697.707,0.5,63.370000000000005,53.76440693430657,48.33625,53.24008211678832,14.005474452554745,0.03753257536611192,5000000.0,2,5,92004287.0,1943645.0,4,2,3,0,SI4.0_GI2.0_CI3.0_EI0.0
UKR,39701744.0,7894.393,8.8,72.06,41.495383211678835,44.99520072992701,45.90906934306569,38.59489051094891,1.4392998098834366,233711205.0,2,5,2804146198.0,62628413.0,1,2,1,3,SI1.0_GI2.0_CI1.0_EI3.0
URY,3422796.0,20551.409,2.8,77.91,37.462892335766426,44.44610401459854,44.92374087591241,41.10401459854015,1.0983539789807562,2500000.0,2,5,428848939.0,4120348.0,1,1,1,3,SI1.0_GI1.0_CI1.0_EI3.0
USA,338289856.0,54225.446,2.77,78.86,48.40324817518248,50.04726277372263,53.09427919708029,28.718065693430656,1.7218589170746197,16048000000.0,2,5,46844036360.0,638406196.0,3,3,3,2,SI3.0_GI3.0_CI3.0_EI2.0
UZB,34627648.0,6253.104,4.0,71.72,38.66305656934306,40.628822992700734,40.39660583941606,42.24452554744526,0.02638363143202163,410000.0,2,0,143104729.0,1001309.0,1,1,0,3,SI1.0_GI1.0_CI0.0_EI3.0
VEN,28301700.0,16745.022,0.8,72.06,55.20144160583941,49.676815693430655,51.85359489051095,34.443430656934304,0.10743806006443243,200000000.0,2,5,303678012.0,3332585.0,4,3,3,2,SI4.0_GI3.0_CI3.0_EI2.0
VNM,98186856.0,6171.884,2.6,75.4,54.68280109489051,52.78077554744526,57.801870437956204,17.63229927007299,0.16980980876784477,53966.0,0,5,3530792620.0,18273708.0,4,4,4,1,SI4.0_GI4.0_CI4.0_EI1.0
YEM,33696612.0,1479.147,0.7,66.12,25.444096715328467,20.958914233576643,23.954507299270073,0.0,0.03705873010719999,2800000.0,1,5,7067175.0,1368634.0,0,0,0,0,SI0.0_GI0.0_CI0.0_EI0.0
ZAF,59893884.0,12294.876,2.32,64.13,43.855291970802924,50.91621350364964,51.30411496350365,48.19799270072993,0.9758001919469713,480000000.0,2,5,2337230182.0,64055132.0,2,3,3,3,SI2.0_GI3.0_CI3.0_EI3.0
ZMB,20017670.0,3689.251,2.0,63.89,31.79153284671533,33.79800182481752,36.02279197080292,18.22536496350365,0.10741782445428441,0.0,0,5,172818904.0,2356679.0,0,0,0,1,SI0.0_GI0.0_CI0.0_EI1.0
ZWE,16320539.0,1899.775,1.7,61.49000000000001,53.75140510948905,48.025903284671536,53.81751824817518,7.481751824817518,0.17198437730679592,100000001.1,2,5,122564644.0,3076338.0,4,2,3,0,SI4.0_GI2.0_CI3.0_EI0.0
