,Dataset,Tree Size,WeightedF1,Accuracy,Precision,Recall
0,Updated_Base_,1.0,0.6089270533914964,0.7246285107772698,,
1,Updated_Base_,2.0,0.6089270533914964,0.7246285107772698,,
2,Updated_Base_,3.0,0.6089270533914964,0.7246285107772698,,
3,Updated_Base_,4.0,0.6090494154498843,0.7245672762900065,,
4,Updated_Base_,5.0,0.6090494154498843,0.7245672762900065,,
5,Updated_Base_,6.0,0.6091975088508409,0.7244039843239712,,
6,Updated_Base_,7.0,0.6189790310758861,0.7233629980404964,,
7,Updated_Base_,8.0,0.6201997352894292,0.7222607772697583,,
8,Updated_Base_,9.0,0.6330986059354139,0.7201175702155453,,
9,Updated_Base_,10.0,0.6355367540908874,0.7180560091443501,,
10,Updated_Base_,11.0,0.6427293000119678,0.7133001306335728,,
11,Updated_Base_,12.0,0.6460896940099635,0.7075236773350752,,
12,Updated_Base_,13.0,0.645552625453041,0.7020329849771392,,
13,Updated_Base_,14.0,0.654070574321925,0.6958483017635533,,
14,Updated_Base_,15.0,0.6476358845081939,0.6885613977792293,,
15,Updated_Base_,16.0,0.6479032882797944,0.6810703788373612,,
16,Updated_Base_,17.0,0.6483709251780128,0.6747019921619857,,
17,Updated_Base_,18.0,0.6494500323184937,0.6680274330502939,,
18,Updated_Base_,19.0,0.6447359916946747,0.662740855649902,,
19,Updated_Base_,20.0,0.6421075994670477,0.6557805355976486,,
20,Updated_Base_,21.0,0.6420772520074732,0.6525146962769431,,
21,Updated_Base_,22.0,0.6383877932055504,0.6458197256694971,,
22,Updated_Base_,23.0,0.636627799850039,0.642472240365774,,
23,Updated_Base_,24.0,0.6350012916346419,0.6389614630960156,,
24,Updated_Base_,25.0,0.6335706314103953,0.6362059111691705,,
25,Updated_Base_,26.0,0.6332681283193758,0.6348995754408883,,
26,Updated_Base_,27.0,0.6321430982798201,0.6335728282168517,,
27,Updated_Base_,28.0,0.6310738129967017,0.6317970280862182,,
28,Updated_Base_,29.0,0.6302521188681788,0.6291639451338994,,
29,Updated_Base_,30.0,0.6298711618670546,0.6285720117570216,,
30,Updated_Base_,31.0,0.6289751280757877,0.6270411495754409,,
31,Updated_Base_,32.0,0.6287325919812031,0.6279392553886349,,
32,Updated_Base_,33.0,0.6292521118254515,0.6280413128674069,,
33,Updated_Base_,34.0,0.6287528022163668,0.6277555519268452,,
34,Updated_Base_,35.0,0.6290340194475194,0.6275310254735467,,
35,Updated_Base_,36.0,0.6277480407561902,0.6257348138471587,,
36,Updated_Base_,37.0,0.6278854781021089,0.6258164598301763,,
37,Updated_Base_,38.0,0.6280310630500402,0.6259185173089484,,
38,Updated_Base_,39.0,0.6278404461396393,0.6254898758981058,,
39,Updated_Base_,40.0,0.6266600728033788,0.6246734160679295,,
40,Updated_Base_,41.0,0.628144831397881,0.6260409862834748,,
41,Updated_Base_,42.0,0.6268962888876656,0.625102057478772,,
42,Updated_Base_,43.0,0.6274145917204553,0.6253469954278249,,
43,Updated_Base_,44.0,0.6271949032811092,0.6250816459830176,,
44,Updated_Base_,45.0,0.6283038122566751,0.6260001632919661,,
45,Updated_Base_,46.0,0.6280390724355513,0.6259185173089484,,
46,Updated_Base_,47.0,0.6281462459044523,0.6261634552580013,,
47,Updated_Base_,48.0,0.6277646848841048,0.6257960483344219,,
48,Updated_Base_,49.0,0.6285854883167927,0.6266737426518615,,
49,Updated_Base_GS_Fin,,0.6874438362483438,,0.6975663973571417,0.733874918354017
50,Updated_21D_,1.0,0.5775574585786147,0.6050619005366121,,
51,Updated_21D_,2.0,0.6243887644619017,0.6340896607090041,,
52,Updated_21D_,3.0,0.6384444697390498,0.6384417120885622,,
53,Updated_21D_,4.0,0.6561755407699251,0.6604273179250997,,
54,Updated_21D_,5.0,0.6565664626983373,0.6683004464725849,,
55,Updated_21D_,6.0,0.6687921591186304,0.6779341136040338,,
56,Updated_21D_,7.0,0.6704231760790502,0.6807368910297038,,
57,Updated_21D_,8.0,0.6854585848286223,0.6924550358445656,,
58,Updated_21D_,9.0,0.6929933576758018,0.7001873213053337,,
59,Updated_21D_,10.0,0.696383576602664,0.7042154335854425,,
60,Updated_21D_,11.0,0.7039463597842646,0.7109477331305193,,
61,Updated_21D_,12.0,0.7064589039519662,0.7143561358290729,,
62,Updated_21D_,13.0,0.7097647297286682,0.7166941310685765,,
63,Updated_21D_,14.0,0.7128319109923331,0.7193983183335446,,
64,Updated_21D_,15.0,0.7128094635493165,0.7190462106167519,,
65,Updated_21D_,16.0,0.7145515040553129,0.7200321122237715,,
66,Updated_21D_,17.0,0.7116789132886551,0.7172293347981015,,
67,Updated_21D_,18.0,0.7117538239911917,0.7166518781425614,,
68,Updated_21D_,19.0,0.7114521425855577,0.7161589273390515,,
69,Updated_21D_,20.0,0.7103148961708515,0.7146659906198505,,
70,Updated_21D_,21.0,0.7093329533032555,0.7131167166659624,,
71,Updated_21D_,22.0,0.7102376006464846,0.7134829086914268,,
72,Updated_21D_,23.0,0.7091466702981695,0.7120603935155843,,
73,Updated_21D_,24.0,0.7064470218890581,0.7089618456078084,,
74,Updated_21D_,25.0,0.7054794609605245,0.7077646793707131,,
75,Updated_21D_,26.0,0.7052632764651658,0.707285812875875,,
76,Updated_21D_,27.0,0.702840958846148,0.7045393726848918,,
77,Updated_21D_,28.0,0.7034104069316386,0.7049055647103561,,
78,Updated_21D_,29.0,0.7020200040284946,0.7033422064477965,,
79,Updated_21D_,30.0,0.7000663937301365,0.7011591386036816,,
80,Updated_21D_,31.0,0.7000318899903663,0.7010464641343079,,
81,Updated_21D_,32.0,0.6983266025987823,0.6992014196983141,,
82,Updated_21D_,33.0,0.6983873036553369,0.699159166772299,,
83,Updated_21D_,34.0,0.6968354817365744,0.6974549654230222,,
84,Updated_21D_,35.0,0.696134615490223,0.6967225813720933,,
85,Updated_21D_,36.0,0.6953065863781187,0.6958352699257757,,
86,Updated_21D_,37.0,0.6950185545211114,0.6954972465176547,,
87,Updated_21D_,38.0,0.694222301303103,0.6946521879973522,,
88,Updated_21D_,39.0,0.6944239733963955,0.6948352840100843,,
89,Updated_21D_,40.0,0.6941221959756513,0.6944972606019634,,
90,Updated_21D_,41.0,0.6928841167521189,0.6932296728215096,,
91,Updated_21D_,42.0,0.692539469402266,0.6928775651047169,,
92,Updated_21D_,43.0,0.6928109794180883,0.693159251278151,,
93,Updated_21D_,44.0,0.6924214853973947,0.6927508063266714,,
94,Updated_21D_,45.0,0.6925550143273675,0.6928916494133885,,
95,Updated_21D_,46.0,0.6930964951667452,0.6934409374515852,,
96,Updated_21D_,47.0,0.6930113104548286,0.693356431599555,,
97,Updated_21D_,48.0,0.6922943049200346,0.692624047548626,,
98,Updated_21D_,49.0,0.6926442152803272,0.6929761552654188,,
99,Updated_21D_,1.0,0.5767068441525315,0.6039351558428755,,
100,Updated_21D_,2.0,0.6235618823559342,0.6330051689412826,,
101,Updated_21D_,3.0,0.6393476590136425,0.6394416980042534,,
102,Updated_21D_,4.0,0.652919947045216,0.6575963718820862,,
103,Updated_21D_,5.0,0.6598740082623948,0.666455402036591,,
104,Updated_21D_,6.0,0.6713318650729277,0.6783707271728567,,
105,Updated_21D_,7.0,0.6735403155875928,0.6820044788101576,,
106,Updated_21D_,8.0,0.6761221368100988,0.6870325770059577,,
107,Updated_21D_,9.0,0.6887404548373453,0.6957930169997606,,
108,Updated_21D_,10.0,0.6921443992530497,0.7023281362234335,,
109,Updated_21D_,11.0,0.7015586779439327,0.7094829650286616,,
110,Updated_21D_,12.0,0.7061649288884131,0.7134406557654117,,
111,Updated_21D_,13.0,0.7094496076263123,0.7162716018084252,,
112,Updated_21D_,14.0,0.7115542409572522,0.7193701497162012,,
113,Updated_21D_,15.0,0.7137914005512329,0.7203701356318926,,
114,Updated_21D_,16.0,0.7132708888918565,0.7201025337671301,,
115,Updated_21D_,17.0,0.7116979233834205,0.7177082012929396,,
116,Updated_21D_,18.0,0.7138293064613255,0.7192152223208124,,
117,Updated_21D_,19.0,0.7117286066731546,0.7164406135124858,,
118,Updated_21D_,20.0,0.7126790721564074,0.7169194800073239,,
119,Updated_21D_,21.0,0.7088784047337561,0.7125674286277658,,
120,Updated_21D_,22.0,0.7092880764093938,0.7126378501711244,,
121,Updated_21D_,23.0,0.7072830903018773,0.7100745059928734,,
122,Updated_21D_,24.0,0.7062721452195668,0.7087646652864045,,
123,Updated_21D_,25.0,0.7047914582440118,0.7068351149983803,,
124,Updated_21D_,26.0,0.7047149992784474,0.706609766059633,,
125,Updated_21D_,27.0,0.7034443149983823,0.705060492105745,,
126,Updated_21D_,28.0,0.7017767314947158,0.7031309418177208,,
127,Updated_21D_,29.0,0.7005965648755655,0.7018070168025803,,
128,Updated_21D_,30.0,0.7002660412233809,0.7013281503077421,,
129,Updated_21D_,31.0,0.6987495692023368,0.6996662018844805,,
130,Updated_21D_,32.0,0.6981979077574422,0.698961986450895,,
131,Updated_21D_,33.0,0.6974600787005589,0.698145096547936,,
132,Updated_21D_,34.0,0.6978148982021336,0.6984408670300418,,
133,Updated_21D_,35.0,0.6964567341855771,0.6970042675455276,,
134,Updated_21D_,36.0,0.6961574270459595,0.6966662441374065,,
135,Updated_21D_,37.0,0.6957869333110794,0.6962296305685836,,
136,Updated_21D_,38.0,0.694967788913904,0.695384572048281,,
137,Updated_21D_,39.0,0.6944618764505791,0.6948493683187561,,
138,Updated_21D_,40.0,0.6947840779742462,0.6951733074182054,,
139,Updated_21D_,41.0,0.6946432249886252,0.6950042957141449,,
140,Updated_21D_,42.0,0.6941059632026851,0.6944409233672765,,
141,Updated_21D_,43.0,0.6936914909884965,0.6940183941071253,,
142,Updated_21D_,44.0,0.6939265970091343,0.6942437430458726,,
143,Updated_21D_,45.0,0.6934419800007067,0.693736707933691,,
144,Updated_21D_,46.0,0.6936095449815274,0.6939057196377516,,
145,Updated_21D_,47.0,0.6933205550390314,0.6936240334643174,,
146,Updated_21D_,48.0,0.6937861888649955,0.6940747313418121,,
147,Updated_21D_,49.0,0.693409520481219,0.6936944550076759,,
148,21D_SMOTE_CV,,0.7152737209142526,,0.7428495995099996,0.7215250489429726
